,en,zh
BANNER_ICONS,Banner Icons,旗帜图案
SETTINGS,Settings,设置
ICON_GROUPS,Groups,图案组
ADD_ICON_GROUP,Add an icon group,添加图案组
DELETE_ICON_GROUP,Delete the selected icon group,删除选中的图案组
GROUP_ID,Group ID,组ID
ASSIGN_A_NUMBER,Assign a number,填写一个数字
ADD,Add,添加
EDIT,Edit,编辑
DELETE,Delete,删除
IMPORT,Import,导入
EXPORT,Export,导出
OPEN,Open,打开
COLORS,Colors,颜色
ICONS,Icons,图标
DETAILS,Details,详情
UI_SPRITE,UI Sprite,UI图标
TEXTURE,Texture,贴图
CHANGE_ELLIPSIS,Change...,更改...
REIMPORT,Reimport,重新导入
ADD_TEXTURES,Add Textures,添加贴图
DELETE_TEXTURES,Delete Textures,删除贴图
MENU/NEW,New,新建
MENU/OPEN,Open,打开
MENU/SAVE,Save,保存
MENU/SAVE_AS,Save As...,另存为...
MENU/EXPORT_ALL,Export All,导出全部
MENU/EXPORT_XML,Export XML Only,仅导出XML
RESOLUTION,Resolution,分辨率
CANCEL,Cancel,取消
OK,OK,确定
OPEN_BIP,Open a Banner Icon Project,打开旗帜图案项目
SAVE_BIP,Save the Banner Icon Project,保存旗帜图案项目
YES,Yes,是
NO,No,否
NEW_PROJECT,(New Project),(新项目)
CONFIRMATION/TITLE/CREATE_PROJECT,"Create New Project","创建新项目"
CONFIRMATION/TEXT/CREATE_PROJECT,"Are you sure you want to create a new project? All unsaved changes will be lost.","您确定要创建一个新项目吗？所有未保存的更改将丢失。"
MESSAGE/NO_SELECTED_ICON_GROUP,Please select an icon group in the list to edit,请在左侧列表中选择一个图案组进行编辑
MESSAGE/NO_SELECTED_ICON,Please select an icon to edit its detail,请选择一个图案以编辑详情
MESSAGE/NO_SELECTED_COLOR,Please select a color in the list to edit,请在左侧列表中选择一个颜色进行编辑
UNASSIGNED,Unassigned,未选择
SETTINGS/GENERAL,General,常规
SETTINGS/GENERAL/LANGUAGE,Language,语言
SETTINGS/GENERAL/VIEW_HELP,Read user manual,查看用户手册
SETTINGS/BANNER_ICONS,Banner Icons,旗帜图案
SETTINGS/BANNER_ICONS/SPRITE_SCAN_FOLDERS,Banner sprite scan folders,UI图标扫描文件夹
SETTINGS/BANNER_ICONS/SPRITE_SCAN_FOLDERS_DESC,"When importing banner icon textures, these folders will be scanned for UI sprite files matching on the base file names of textures (i.e without extensions). \nPlease enter the relative folder paths in the edit box below, one for each line. For example, './Sprites' means to scan in the Sprites subfolder of where the texture lies.",请在下方文本框内填写 UI 图标的扫描路径。在导入旗帜贴图时，会扫描这些文件夹，并自动尝试按文件名查找匹配的 UI 图标文件。\n每行填写一个基于贴图文件位置的相对路径，如 “./Sprites” 表示在贴图文件夹的 Sprite 子目录内扫描。
SETTINGS/BANNER_ICONS/GROUP_START_ID,Custom group start ID,自定义图案组起始ID
SETTINGS/BANNER_ICONS/GROUP_START_ID_DESC,"Custom icon groups will have incremental IDs starting from this value.\nNote that 1 to 6 are used by the vanilla game. Overriding them might cause the game to crash.",图案组的ID会以此为起始值递增，并且不会小于该值。\n请注意，原版游戏使用了 1 到 6 的 ID，如果您的自定义 ID 与原版 ID 重复，可能会导致游戏崩溃。
SETTINGS/BANNER_ICONS/COLOR_START_ID,Custom color start ID,自定义颜色起始ID
SETTINGS/BANNER_ICONS/COLOR_START_ID_DESC,"Custom colors will have incremental IDs starting from this value.\nNote that 0 to 193 are used by the vanilla game. Overriding them might cause the game to crash.",自定义颜色的ID会以此为起始值递增，并且不会小于该值。\n请注意，原版游戏使用了 0 到 193 的 ID，如果您的自定义 ID 与原版 ID 重复，可能会导致游戏崩溃。
SETTINGS/ABOUT,About,关于
SETTINGS/ABOUT/VERSION,Version,版本
SETTINGS/ABOUT/LOG,Application Log,应用日志
SUPPORTED_IMAGES,Supported Images,支持的图片格式
COLOR,Color,颜色
ID,ID,编号
SIGIL_COLOR,Sigil Color,前景色
BACKGROUND_COLOR,Background Color,背景色
AND_NUMBER_MORE, and {0} more, 和其他{0}个
ADD_COLOR,Add a color,添加颜色
DELETE_COLOR,Delete the selected color,删除选中的颜色
SORT,Sort,排序
